jroos	CART110DFA-Found-I-Design-Principles
jroos	CART110DFB-Found-I-Design-Principles
rsullender	CART120DFA-Found-I-Design-Digital-Skill
wfrakeiii	CART120DFB-Found-I-Design-Digital-Skill
abaidas1	CART120DFC-Found-I-Design-Digital-Skill
jgaetjen	CART200DFA-Drawing-I
jgaetjen	CART200DFB-Drawing-I
jgaetjen	CART200DFC-Drawing-I
wfrakeiii	CART240DFA-Storyboarding
rsullender	CART250DFA-Modeling-I
ecowan	CART320DFA-Intro-2D-Animation
ecowan	CART345DFA-Digital-Animation-II
jroos	CART370DFA-Graphic-Design-I
mclarke31	CART395DFC-Typography-II
jgaetjen	CART399DLA-Internship-Computer-Arts
ecowan	CART495DFA-Senior-Project-I
